B4,B3,B2,B8,B11,B12,NDVI,NDBI,MNDWI,NDSLI,class,sample
0.0499,0.0786,0.093,0.2603,0.1303,0.0521,0.6782721,-0.3328213,-0.24748686,-0.44617093,1,train
0.0468,0.0762,0.0933,0.2639,0.1239,0.0449,0.6987448,-0.36101085,-0.23838079,-0.4516696,1,train
0.0476,0.076,0.0931,0.2717,0.1321,0.0488,0.7018478,-0.3457157,-0.26958194,-0.47022817,1,train
0.0487,0.0773,0.0932,0.2787,0.1321,0.0488,0.7025046,-0.35686463,-0.26170012,-0.46128318,1,train
0.0485,0.0765,0.0934,0.2749,0.135,0.0525,0.7000618,-0.34130272,-0.27659577,-0.47138965,1,train
0.047,0.0736,0.0921,0.2349,0.135,0.0525,0.66654843,-0.27007297,-0.29434326,-0.4835165,1,train
0.0484,0.0756,0.0925,0.2309,0.135,0.0534,0.65341926,-0.26209345,-0.28205132,-0.47219196,1,train
0.0485,0.0793,0.0928,0.2694,0.135,0.0534,0.6948726,-0.3323442,-0.259916,-0.47138965,1,train
0.0462,0.0735,0.0917,0.2455,0.1192,0.0442,0.6832362,-0.34631205,-0.2371562,-0.4413543,1,train
0.0468,0.0759,0.0928,0.2661,0.1254,0.0474,0.7008629,-0.35938692,-0.24590164,-0.45644602,1,train
0.0465,0.0769,0.0928,0.2762,0.1317,0.0492,0.7118066,-0.3542535,-0.26270372,-0.47811446,1,train
0.0477,0.0769,0.0928,0.2851,0.1317,0.0492,0.71334136,-0.36804226,-0.26270372,-0.46822742,1,train
0.0498,0.0782,0.0941,0.2992,0.1396,0.053,0.7146132,-0.36371925,-0.28191,-0.4741288,1,train
0.0506,0.0807,0.0932,0.2999,0.1396,0.053,0.7112696,-0.36473265,-0.26736265,-0.46792847,1,train
0.0505,0.0789,0.0959,0.2789,0.1388,0.0544,0.6933819,-0.3354082,-0.27514926,-0.46645534,1,train
0.0494,0.0784,0.0936,0.2731,0.1388,0.0544,0.6936434,-0.32605,-0.2780847,-0.47502655,1,train
0.0463,0.074,0.0911,0.2357,0.1179,0.0442,0.6716312,-0.33314478,-0.22876497,-0.43605357,1,train
0.0469,0.0756,0.0923,0.2635,0.1228,0.0467,0.6978093,-0.3642247,-0.23790324,-0.44725987,1,train
0.0473,0.0773,0.0914,0.2809,0.1315,0.0492,0.7117611,-0.3622696,-0.2595786,-0.47091725,1,train
0.0484,0.0792,0.094,0.2955,0.1315,0.0492,0.71852285,-0.38407493,-0.24822024,-0.4619233,1,train
0.0497,0.0783,0.0944,0.2955,0.1403,0.0529,0.712051,-0.35612667,-0.28362307,-0.47684214,1,train
0.05,0.0786,0.0931,0.2838,0.1403,0.0529,0.7004194,-0.3383636,-0.2818639,-0.47451395,1,train
0.0498,0.078,0.0939,0.2808,0.1409,0.0544,0.6987296,-0.33175245,-0.28734583,-0.47771367,1,train
0.0498,0.0776,0.0948,0.2804,0.1409,0.0544,0.6983646,-0.331118,-0.2897025,-0.47771367,1,train
0.0489,0.0794,0.094,0.2853,0.1306,0.0486,0.70736086,-0.37196437,-0.24380952,-0.45515323,1,train
0.0493,0.0785,0.0939,0.2878,0.14,0.0529,0.7075052,-0.34548858,-0.28146452,-0.47913367,1,train
0.0496,0.0783,0.0929,0.2731,0.14,0.0529,0.6925937,-0.322198,-0.28263858,-0.47679323,1,train
0.0487,0.0772,0.0936,0.2784,0.1406,0.0538,0.7022317,-0.3288783,-0.29109272,-0.48547277,1,train
0.0487,0.0765,0.0936,0.2814,0.1406,0.0538,0.7049379,-0.3336493,-0.29525563,-0.48547277,1,train
0.0488,0.0748,0.0923,0.2728,0.1419,0.0545,0.6965174,-0.31564987,-0.30964467,-0.48820138,1,train
0.049,0.0778,0.0937,0.2899,0.1397,0.0537,0.71082914,-0.34962758,-0.2845977,-0.48065713,1,train
0.0488,0.0775,0.0934,0.2899,0.1397,0.0537,0.7118394,-0.34962758,-0.28637198,-0.4822281,1,train
0.0493,0.0785,0.0927,0.2879,0.1418,0.0539,0.70759195,-0.34000465,-0.28733543,-0.48403978,1,train
0.0489,0.0764,0.0924,0.2506,0.1369,0.0524,0.6734558,-0.2934194,-0.28363806,-0.47362754,1,train
0.0481,0.0757,0.0927,0.2586,0.1348,0.0516,0.6863384,-0.3146924,-0.2807601,-0.47402954,1,train
0.0475,0.0771,0.0928,0.2619,0.1304,0.0483,0.6929541,-0.33520266,-0.25686747,-0.46599215,1,train
0.0478,0.0753,0.0916,0.2636,0.1306,0.0482,0.69299936,-0.33739215,-0.26857698,-0.46412557,1,train
0.0478,0.0779,0.0933,0.2798,0.1306,0.0482,0.7081807,-0.36354774,-0.25275782,-0.46412557,1,train
0.0485,0.0759,0.0924,0.2679,0.1309,0.0483,0.693426,-0.3435306,-0.26595742,-0.45930877,1,train
0.0486,0.0784,0.0932,0.2753,0.1309,0.0483,0.69990736,-0.3554899,-0.2508361,-0.45849583,1,train
0.0483,0.0808,0.0938,0.2925,0.1358,0.0492,0.7165493,-0.36586502,-0.2539243,-0.47528517,1,train
0.0474,0.0771,0.0932,0.2687,0.1358,0.0492,0.7000949,-0.32855377,-0.2757163,-0.48253274,1,train
0.0476,0.0756,0.0928,0.2722,0.1297,0.0489,0.7023139,-0.35456577,-0.26351684,-0.46305698,1,train
0.0472,0.0749,0.0921,0.2568,0.1297,0.0489,0.6894737,-0.32884863,-0.2678397,-0.4663652,1,train
0.0476,0.0788,0.0935,0.2777,0.1368,0.0501,0.70734704,-0.3399276,-0.2690167,-0.48373103,1,train
0.0493,0.0813,0.0943,0.2903,0.1368,0.0501,0.70965844,-0.3594006,-0.25447047,-0.47017735,1,train
0.0491,0.0783,0.0934,0.2652,0.1405,0.0543,0.68755966,-0.30736998,-0.28427786,-0.4820675,1,train
0.0467,0.073,0.0922,0.2408,0.1294,0.0489,0.6751304,-0.3009184,-0.27865613,-0.46961954,1,train
0.0481,0.0763,0.0929,0.2533,0.1387,0.0516,0.68082285,-0.29234698,-0.2902325,-0.4850107,1,train
0.0495,0.0799,0.0943,0.276,0.1387,0.0516,0.6958525,-0.33108273,-0.26898444,-0.47396386,1,train
0.0494,0.0795,0.0937,0.2814,0.1461,0.0571,0.70133007,-0.31649122,-0.29521278,-0.49462914,1,train
0.0532,0.0866,0.0963,0.3039,0.1461,0.0571,0.70204425,-0.35066667,-0.25569403,-0.46613148,1,train
0.0479,0.0769,0.0943,0.2654,0.1292,0.0488,0.6942228,-0.34515965,-0.2537603,-0.45906267,1,train
0.0476,0.0774,0.0936,0.256,0.1393,0.0531,0.6864295,-0.29521883,-0.28564838,-0.4906367,1,train
0.0491,0.0805,0.0939,0.2803,0.1393,0.0531,0.7018822,-0.3360343,-0.26751593,-0.4787686,1,train
0.0499,0.0797,0.0947,0.2866,0.1491,0.0579,0.70341754,-0.3155841,-0.3033217,-0.49849248,1,train
0.0521,0.0864,0.097,0.2968,0.1491,0.0579,0.7013471,-0.33124015,-0.26624206,-0.48210737,1,train
0.0527,0.086,0.0965,0.2983,0.1529,0.0607,0.6997151,-0.3222518,-0.28003347,-0.48735407,1,train
0.0523,0.085,0.096,0.2901,0.1571,0.0617,0.6945094,-0.29740608,-0.29781082,-0.50047755,1,train
0.0486,0.0778,0.0916,0.2647,0.132,0.0505,0.68975425,-0.3345097,-0.25834128,-0.46179402,1,train
0.0481,0.0776,0.0933,0.2691,0.1404,0.0537,0.6967213,-0.3142857,-0.2880734,-0.4896552,1,train
0.0481,0.079,0.0929,0.2875,0.1404,0.0537,0.7133492,-0.34377187,-0.27985415,-0.4896552,1,train
0.0488,0.0778,0.0937,0.2799,0.1485,0.0562,0.7030727,-0.30672273,-0.31241715,-0.50532186,1,train
0.0485,0.0778,0.0929,0.2678,0.1485,0.0562,0.6933291,-0.28657222,-0.31241715,-0.5076142,1,train
0.0496,0.0779,0.0929,0.264,0.1526,0.0602,0.68367344,-0.26740277,-0.3240781,-0.5093966,1,train
0.0513,0.0833,0.0957,0.2748,0.1629,0.0643,0.6853726,-0.25565457,-0.32331437,-0.52100843,1,train
0.0578,0.0902,0.0976,0.3044,0.1655,0.0655,0.6808393,-0.2955948,-0.29448572,-0.4823108,1,train
0.049,0.0779,0.0936,0.2847,0.1433,0.0548,0.706323,-0.33037385,-0.29566002,-0.49037963,1,train
0.0481,0.0768,0.0928,0.2771,0.1433,0.0548,0.704182,-0.31826833,-0.30213535,-0.49738768,1,train
0.0482,0.0783,0.0931,0.2632,0.1468,0.056,0.69043034,-0.28390247,-0.3043092,-0.50564104,1,train
0.0488,0.0799,0.0943,0.2741,0.1468,0.056,0.69773924,-0.30244717,-0.29510367,-0.5010225,1,train
0.0536,0.0837,0.0967,0.2986,0.153,0.0617,0.6956275,-0.3224092,-0.29277566,-0.48112294,1,train
0.0549,0.0868,0.0969,0.3003,0.1629,0.0646,0.6908784,-0.2966321,-0.3047657,-0.49586776,1,train
0.0589,0.0912,0.0971,0.3118,0.17,0.0685,0.68222284,-0.29431298,-0.30168453,-0.4853648,1,train
0.0616,0.0962,0.0985,0.3303,0.1722,0.0705,0.6856341,-0.31462687,-0.28315946,-0.47305387,1,train
0.0493,0.077,0.0933,0.3007,0.1454,0.0562,0.71828574,-0.34812823,-0.30755398,-0.49357986,1,train
0.0488,0.077,0.093,0.2708,0.1454,0.0562,0.6946183,-0.30129743,-0.30755398,-0.49742535,1,train
0.0494,0.0788,0.0942,0.2652,0.146,0.0563,0.6859504,-0.28988326,-0.29893237,-0.4943705,1,train
0.0504,0.0807,0.0942,0.2697,0.146,0.0563,0.6850984,-0.29757035,-0.28804585,-0.48676172,1,train
0.0516,0.0822,0.0946,0.2896,0.1547,0.0617,0.6975381,-0.3036237,-0.3060363,-0.49975762,1,train
0.0528,0.0833,0.0946,0.2896,0.1614,0.0637,0.6915888,-0.2842572,-0.31916633,-0.50700283,1,train
0.0539,0.0881,0.0945,0.2923,0.1664,0.0675,0.68861926,-0.2744713,-0.30766207,-0.51066726,1,train
0.0556,0.0899,0.0955,0.298,0.1688,0.0677,0.68552035,-0.27677807,-0.30498645,-0.50445634,1,train
0.0549,0.0866,0.0952,0.3015,0.1688,0.0677,0.69191915,-0.2821603,-0.3218481,-0.50916404,1,train
0.049,0.0812,0.0948,0.3051,0.1496,0.058,0.72324204,-0.3419837,-0.29636046,-0.50654584,1,train
0.0494,0.078,0.0925,0.2662,0.1496,0.058,0.6869455,-0.28042328,-0.314587,-0.50351757,1,train
0.05,0.0796,0.0937,0.2696,0.1467,0.0568,0.6871089,-0.2952198,-0.29650906,-0.49161157,1,train
0.0502,0.0805,0.0939,0.2757,0.1467,0.0568,0.69193006,-0.30539775,-0.29137322,-0.49009648,1,train
0.0505,0.0804,0.0941,0.2703,0.1489,0.0588,0.68516207,-0.28959924,-0.2987353,-0.49348044,1,train
0.05605,0.0851,0.0956,0.31235,0.17805,0.07475,0.6957112,-0.2738581,-0.35322058,-0.5211448,1,train
0.05585,0.0848,0.09585,0.3033,0.1797,0.0738,0.6889879,-0.2559006,-0.3587902,-0.5257907,1,train
0.0557,0.08365,0.0951,0.30525,0.16565,0.06655,0.69137,-0.2964536,-0.32892096,-0.49672464,1,train
0.0541,0.08285,0.0934,0.30595,0.16565,0.06655,0.6994862,-0.29749787,-0.33319917,-0.5076223,1,train
0.05435,0.0844,0.09455,0.32055,0.1698,0.06735,0.710056,-0.30743346,-0.33595595,-0.5150569,1,train
0.0543,0.086,0.09355,0.3183,0.1636,0.06515,0.70853466,-0.321021,-0.3108974,-0.5016062,1,train
0.0536,0.083,0.09395,0.3176,0.16565,0.06655,0.7112069,-0.31443354,-0.33239493,-0.5110604,1,train
0.05185,0.0822,0.0923,0.31035,0.16565,0.06655,0.7136941,-0.30399162,-0.33669558,-0.5232184,1,train
0.052,0.082,0.09145,0.32045,0.1698,0.06735,0.7207679,-0.30729222,-0.3486894,-0.5311091,1,train
0.0556,0.0813,0.0943,0.26555,0.1642,0.0671,0.65374434,-0.23583479,-0.3376782,-0.49408552,1,train
0.0537,0.0831,0.09115,0.30725,0.1642,0.0671,0.7024519,-0.3034256,-0.32794175,-0.50711334,1,train
0.05305,0.08305,0.09285,0.3152,0.1645,0.0636,0.7118805,-0.31415468,-0.32902443,-0.512296,1,train
0.0517,0.0812,0.09265,0.30705,0.1645,0.0636,0.711777,-0.3023009,-0.3390313,-0.5217391,1,train
0.05115,0.0814,0.0939,0.31355,0.1717,0.06715,0.7194955,-0.29232353,-0.35677597,-0.54094684,1,train
0.0528,0.0798,0.09255,0.28905,0.16755,0.06785,0.6910926,-0.26609728,-0.35476044,-0.52076244,1,train
0.05625,0.0829,0.09525,0.29145,0.1642,0.0671,0.6764452,-0.2792714,-0.32901657,-0.4896802,1,train
0.05355,0.0831,0.09245,0.30525,0.1642,0.0671,0.701505,-0.30045798,-0.32794175,-0.50815153,1,train
0.053,0.08305,0.0941,0.31315,0.1645,0.0636,0.71050113,-0.31121114,-0.32902443,-0.5126437,1,train
0.0525,0.08165,0.0935,0.31735,0.1645,0.0636,0.7161011,-0.3172149,-0.3365834,-0.516129,1,train
0.0522,0.0828,0.0934,0.32075,0.1717,0.06715,0.7200697,-0.30267033,-0.34931237,-0.53372043,1,train
0.0561,0.08525,0.0952,0.3296,0.1811,0.07325,0.70910037,-0.2907774,-0.35986483,-0.5269815,1,train
0.05345,0.083,0.09395,0.32045,0.1811,0.07325,0.7140947,-0.2778387,-0.37145022,-0.5442336,1,train
0.0552,0.08715,0.0943,0.33725,0.179,0.07095,0.7186903,-0.3065375,-0.34510615,-0.528608,1,train
0.05445,0.08505,0.09435,0.33325,0.179,0.07095,0.7191127,-0.30112246,-0.35580382,-0.53351897,1,train
0.05365,0.0843,0.0951,0.32505,0.1761,0.06875,0.7166623,-0.2972164,-0.3525346,-0.5329706,1,train
0.0526,0.0826,0.09405,0.32555,0.1761,0.06875,0.7218035,-0.29791686,-0.3614225,-0.5400087,1,train
0.0533,0.0832,0.09335,0.31975,0.1778,0.06855,0.7142474,-0.285298,-0.36245212,-0.5387278,1,train
0.05485,0.08495,0.0952,0.35295,0.18795,0.07515,0.7309956,-0.30504715,-0.37742764,-0.5481878,1,train
0.05495,0.086,0.09495,0.3536,0.1811,0.07325,0.7309999,-0.32261083,-0.3560464,-0.53442067,1,train
0.05425,0.0855,0.095,0.33975,0.1811,0.07325,0.72461927,-0.30459824,-0.35858962,-0.5389845,1,train
0.054,0.0872,0.09575,0.34135,0.179,0.07095,0.72682434,-0.3120015,-0.3448535,-0.53648067,1,train
0.0542,0.0865,0.09485,0.3442,0.179,0.07095,0.72791165,-0.3157492,-0.34839928,-0.5351629,1,train
0.05465,0.0872,0.0952,0.35455,0.1761,0.06875,0.73289347,-0.33628568,-0.33763766,-0.5263272,1,train
0.0533,0.08315,0.09395,0.32785,0.1761,0.06875,0.7203201,-0.30112118,-0.35853425,-0.5353095,1,train
0.05345,0.0816,0.09335,0.31395,0.1778,0.06855,0.70903647,-0.27686834,-0.3708558,-0.53772974,1,train
0.05355,0.0833,0.0938,0.32835,0.17355,0.06895,0.7195601,-0.308428,-0.35137236,-0.52840155,1,train
0.05425,0.08575,0.09405,0.3422,0.1745,0.0688,0.7263211,-0.32455972,-0.34101826,-0.5256831,1,train
0.0535,0.0821,0.0944,0.33145,0.1745,0.0688,0.7220418,-0.3102085,-0.36009356,-0.53070176,1,train
0.05285,0.08185,0.0943,0.33035,0.1755,0.06755,0.7241649,-0.30611843,-0.36390132,-0.5371141,1,train
0.0524,0.0784,0.0896,0.3612,0.1723,0.0689,0.7466151,-0.35407686,-0.37455124,-0.53360033,1,train
0.0445,0.0679,0.0836,0.2843,0.1723,0.0689,0.72931874,-0.2452913,-0.43463778,-0.5894834,1,train
0.0485,0.0723,0.0878,0.3068,0.1612,0.0682,0.7269913,-0.31111112,-0.38072804,-0.5374344,1,train
0.0485,0.0783,0.0862,0.3315,0.1623,0.0686,0.74473685,-0.34264883,-0.3491272,-0.5398482,1,train
0.0502,0.0749,0.0883,0.3142,0.1524,0.0651,0.7244786,-0.34676385,-0.34095907,-0.5044423,1,train
0.0525,0.0799,0.0898,0.3644,0.1612,0.0682,0.74814105,-0.38660577,-0.33720452,-0.50865704,1,train
0.0526,0.0801,0.0906,0.402,0.1623,0.0686,0.76858777,-0.42477405,-0.3391089,-0.51047,1,train
0.0478,0.0746,0.0889,0.3218,0.1625,0.0678,0.741342,-0.32892835,-0.37072963,-0.5454113,1,train
0.0533,0.0778,0.0894,0.3477,0.1686,0.0703,0.7341646,-0.34689137,-0.3685065,-0.51960343,1,train
0.0536,0.0786,0.0927,0.3764,0.1742,0.0717,0.7506977,-0.36723575,-0.37816456,-0.5294118,1,train
0.0537,0.0815,0.0925,0.415,0.1739,0.0725,0.77085555,-0.40940738,-0.3617854,-0.5281195,1,train
0.052,0.0798,0.0894,0.4178,0.1726,0.0701,0.7786292,-0.41531166,-0.36767036,-0.5369546,1,train
0.0495,0.0774,0.0894,0.3511,0.1625,0.0678,0.7528707,-0.36721185,-0.35473114,-0.5330188,1,train
0.0516,0.0749,0.089,0.3683,0.1686,0.0703,0.75422716,-0.3719501,-0.3848049,-0.5313351,1,train
0.0475,0.0748,0.0874,0.3721,0.1742,0.0717,0.7735939,-0.36225516,-0.39919677,-0.571493,1,train
0.0485,0.0759,0.0906,0.3694,0.1739,0.0725,0.76788706,-0.35983804,-0.3923138,-0.5638489,1,train
0.0478,0.0746,0.0884,0.3821,0.1726,0.0701,0.7776227,-0.3776816,-0.39644012,-0.5662432,1,train
0.0512,0.0737,0.0889,0.344,0.1574,0.0644,0.7408907,-0.372158,-0.36218086,-0.50910836,1,train
0.0465,0.0737,0.0877,0.3183,0.1532,0.0618,0.7450658,-0.35015908,-0.3503746,-0.53430146,1,train
0.0483,0.0718,0.0871,0.3138,0.1547,0.0611,0.73322284,-0.33959448,-0.3660044,-0.5241379,1,train
0.0478,0.0747,0.0872,0.3362,0.1582,0.0628,0.75104165,-0.36003238,-0.35852298,-0.5359223,1,train
0.0457,0.0701,0.0863,0.3197,0.1677,0.0693,0.74986315,-0.31185886,-0.4104289,-0.57169634,1,train
0.0467,0.0755,0.0875,0.3677,0.1753,0.0751,0.7746139,-0.35432783,-0.39792666,-0.5792793,1,train
0.0465,0.0702,0.086,0.285,0.1574,0.0644,0.71945703,-0.28842676,-0.38312826,-0.54389405,1,train
0.0465,0.0702,0.086,0.285,0.1574,0.0644,0.71945703,-0.28842676,-0.38312826,-0.54389405,1,train
0.0438,0.0699,0.0852,0.2963,0.1532,0.0618,0.7424287,-0.3183537,-0.37337518,-0.55533,1,train
0.0406,0.0648,0.0842,0.2569,0.1547,0.0611,0.7270588,-0.24829936,-0.40956718,-0.58422935,1,train
0.0463,0.0724,0.0874,0.3341,0.1582,0.0628,0.756572,-0.3573025,-0.37207282,-0.5471882,1,train
0.0488,0.075,0.0893,0.3635,0.1677,0.0693,0.76327914,-0.3685994,-0.381953,-0.54919165,1,train
0.0491,0.076,0.0885,0.4107,0.1753,0.0751,0.78642887,-0.4017065,-0.39514527,-0.5623886,1,train
0.0472,0.0732,0.0881,0.3218,0.1387,0.0552,0.7441734,-0.3976113,-0.30910805,-0.49220008,1,train
0.0472,0.0732,0.0881,0.3198,0.1387,0.0552,0.74277925,-0.39498365,-0.30910805,-0.49220008,1,train
0.0442,0.071,0.0862,0.2842,0.1375,0.0562,0.73081607,-0.34787765,-0.31894484,-0.51348376,1,train
0.0462,0.0748,0.0867,0.2967,0.1375,0.0566,0.73053366,-0.3666513,-0.2953368,-0.497006,1,train
0.0429,0.0671,0.0833,0.2628,0.1449,0.0596,0.7193327,-0.28918326,-0.3669811,-0.543131,1,train
0.0443,0.0703,0.0845,0.2899,0.1562,0.0662,0.73488927,-0.29970858,-0.37924948,-0.55810475,1,train
0.0497,0.0751,0.0862,0.3403,0.1872,0.0768,0.7451282,-0.29023698,-0.42737323,-0.5804137,1,train
0.0498,0.08,0.0886,0.4339,0.2072,0.089,0.79408723,-0.35361096,-0.44289696,-0.6124514,1,train
0.0476,0.072,0.0889,0.2923,0.1387,0.0552,0.7199176,-0.35638052,-0.31656384,-0.4889962,1,train
0.0459,0.069,0.0872,0.2813,0.1387,0.0552,0.71943766,-0.33952385,-0.33558014,-0.50270855,1,train
0.042,0.0669,0.0842,0.2453,0.1375,0.0566,0.7076227,-0.28160918,-0.3454012,-0.53203344,1,train
0.042,0.0661,0.0842,0.2428,0.1375,0.0566,0.7050562,-0.27688664,-0.35068762,-0.53203344,1,train
0.0458,0.0709,0.0861,0.2777,0.1449,0.0596,0.716847,-0.31424516,-0.34291008,-0.51966435,1,train
0.0493,0.0716,0.0865,0.2926,0.1562,0.0662,0.71161157,-0.30392155,-0.37137842,-0.52019465,1,train
0.0521,0.0773,0.0894,0.3474,0.1872,0.0768,0.73917395,-0.29966334,-0.41550094,-0.56456333,1,train
0.0533,0.0827,0.0924,0.4642,0.2072,0.089,0.7940096,-0.38278222,-0.42945844,-0.59078693,1,train
0.0386,0.0585,0.0799,0.1948,0.1193,0.0498,0.6692374,-0.24036932,-0.34195727,-0.51108295,1,train
0.0418,0.0653,0.0825,0.2239,0.1293,0.0532,0.6853594,-0.26783693,-0.32887974,-0.5113968,1,train
0.0418,0.0653,0.0825,0.2275,0.1293,0.0532,0.68956554,-0.27522424,-0.32887974,-0.5113968,1,train
0.0431,0.068,0.0832,0.2334,0.1503,0.0641,0.68824595,-0.21657547,-0.3770041,-0.5542916,1,train
0.0458,0.0707,0.0858,0.2573,0.1503,0.0641,0.6977895,-0.26251227,-0.360181,-0.5328914,1,train
0.0472,0.0727,0.0893,0.3056,0.1665,0.0735,0.7324263,-0.29464093,-0.39214048,-0.55825925,1,train
0.051,0.0712,0.0873,0.2688,0.1782,0.0799,0.68105066,-0.20268454,-0.4290297,-0.55497384,1,train
0.0528,0.0809,0.0932,0.3608,0.1978,0.0855,0.7446808,-0.29180095,-0.41944742,-0.5786113,1,train
0.0526,0.0816,0.0921,0.4718,0.2065,0.0874,0.7993898,-0.39112487,-0.43353,-0.5939791,1,train
0.055,0.0859,0.0915,0.4517,0.2088,0.0874,0.78290904,-0.3677517,-0.41703427,-0.58301747,1,train
0.0382,0.0596,0.0809,0.198,0.1203,0.0481,0.6765453,-0.24410932,-0.33740968,-0.5179811,1,train
0.0396,0.063,0.0806,0.1972,0.1193,0.0498,0.6655405,-0.24612954,-0.3088316,-0.5015733,1,train
0.0448,0.0686,0.0852,0.2628,0.1293,0.0532,0.70871264,-0.3404744,-0.30672055,-0.48535326,1,train
0.0463,0.0686,0.0853,0.2748,0.1293,0.0532,0.71161634,-0.3600594,-0.30672055,-0.47266513,1,train
0.0476,0.0706,0.0872,0.3038,0.1503,0.0641,0.72908366,-0.33803126,-0.36079672,-0.518949,1,train
0.05,0.0732,0.0893,0.3146,0.1503,0.0641,0.72572684,-0.35340932,-0.3449664,-0.5007489,1,train
0.0554,0.0803,0.0931,0.3648,0.1665,0.0735,0.736316,-0.37323546,-0.34927064,-0.500676,1,train
0.0561,0.0789,0.0919,0.3625,0.1782,0.0799,0.7319637,-0.34085444,-0.38623103,-0.52112675,1,train
0.0548,0.084,0.0914,0.4233,0.1978,0.0855,0.7707592,-0.36306554,-0.4038325,-0.5661124,1,train
0.0533,0.0826,0.0914,0.4346,0.2065,0.0874,0.7815126,-0.35579473,-0.42857143,-0.58968437,1,train
0.0489,0.0795,0.0887,0.4005,0.2088,0.0874,0.7823765,-0.31462333,-0.4484912,-0.62048894,1,train
0.0422,0.067,0.0838,0.2829,0.1603,0.0678,0.74038756,-0.27662456,-0.41047072,-0.5832099,1,train
0.0448,0.0701,0.0862,0.2714,0.1599,0.0662,0.71663505,-0.25852078,-0.39043474,-0.56228626,1,train
0.0459,0.0695,0.0853,0.2857,0.1617,0.0699,0.72316045,-0.27715692,-0.39878893,-0.55780345,1,train
0.0459,0.0708,0.0853,0.2971,0.1643,0.0748,0.73236156,-0.2878197,-0.3977031,-0.5632731,1,train
0.0456,0.0726,0.0852,0.3434,0.1643,0.0748,0.7655527,-0.3527674,-0.38708314,-0.56550735,1,train
0.0454,0.0721,0.0864,0.3516,0.1742,0.083,0.77128464,-0.33739063,-0.41453514,-0.5865209,1,train
0.0475,0.0679,0.0874,0.2964,0.1742,0.083,0.7237569,-0.25966853,-0.43907475,-0.571493,1,train
0.0536,0.078,0.0928,0.3351,0.1806,0.083,0.7242089,-0.29959276,-0.39675173,-0.54227155,1,train
0.0575,0.0858,0.0939,0.3866,0.1858,0.0825,0.7410493,-0.3508036,-0.36818853,-0.5273325,1,train
0.0535,0.0818,0.091,0.4017,0.1873,0.0793,0.7649385,-0.3640068,-0.39204755,-0.55564785,1,train
0.0507,0.0781,0.089,0.3725,0.1863,0.0758,0.76039696,-0.33321404,-0.4092284,-0.5721519,1,train
